week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Date,Temp_C
1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160.0,1.0,2,1,2022,25.25157605,92.48405007,0.02035381907,34.5,291.5333334,2022-01-02,18.383333400000026
2nd week,Maharashtra,Gadchiroli,Malaria,7.0,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97,2022-01-10,26.82000000000005
3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8.0,0.4,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,2022-01-18,27.61666660000003
3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7.0,0.8,11,1,2022,23.77405735,71.68373466,0.06509449409,9.0,299.08,2022-01-11,25.930000000000007
3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14.0,0.8,24,12,2021,9.98408,76.2741457,0.04125608103,33.0,303.028,2021-12-24,29.878000000000043
3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8.0,0.4,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,2022-01-18,27.61666660000003
5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1.0,0.8,24,1,2022,25.8435395,80.91800397,0.09903011933,6.4,290.18,2022-01-24,17.03000000000003
6th week,Maharashtra,Gadchiroli,Malaria,1.0,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,11.8,300.06333340000003,2022-02-09,26.913333400000056
6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15.0,0.4,11,2,2022,18.7232023,82.60811828,0.0004905797777,12.0,300.5566666,2022-02-11,27.40666660000005
7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67.0,1.2,17,2,2022,23.0216238,72.5797068,7.25e-05,15.4,302.55333340000004,2022-02-17,29.403333400000065
7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89.0,2.4,17,2,2022,23.41146995,87.84499445,0.003711025774,13.2,296.68,2022-02-17,23.53000000000003
7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5.0,0.4,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,2022-02-14,29.805000000000007
